Playlist Title,Video Title,Date Added,Duration,Views,Likes,Dislikes,Video Key
ISL Dictionary - Academic terms,apple,2019-07-29T11:53:41Z,PT22S,249,14,0,tVLshUr3_es
ISL Dictionary - Academic terms,applicant,2019-07-29T11:53:45Z,PT40S,637,27,0,I7MGbyV8C20
ISL Dictionary - Academic terms,application,2019-07-30T04:30:47Z,PT21S,418,21,0,ZmzbQZJ_U4A
ISL Dictionary - Academic terms,apply,2019-07-30T05:06:19Z,PT34S,417,13,0,zr28CwSriH0
ISL Dictionary - Academic terms,appreciate,2019-07-30T05:06:29Z,PT10S,203,3,0,ocsdkY3UKvo
ISL Dictionary - Academic terms,apprise,2019-07-30T05:51:34Z,PT31S,552,31,0,ctBiBqxZQCQ
ISL Dictionary - Academic terms,approach,2019-07-30T05:51:45Z,PT31S,304,18,0,xKy2pi0P1Ww
ISL Dictionary - Academic terms,approve,2019-07-30T06:02:49Z,PT24S,499,21,1,7LwtHzCiwl0
ISL Dictionary - Academic terms,approximate,2019-07-30T08:26:27Z,PT1M2S,611,34,0,20oyHqB1Y1w
ISL Dictionary - Academic terms,april,2019-07-30T08:26:33Z,PT10S,355,8,3,9dCBLa8GC4k
ISL Dictionary - Academic terms,area,2019-07-30T08:26:42Z,PT57S,827,30,2,qC8HkKEIIVU
ISL Dictionary - Academic terms,argue,2019-07-30T09:28:31Z,PT52S,578,30,0,mXZc08e9nNU
ISL Dictionary - Academic terms,arm,2019-07-30T09:34:13Z,PT29S,685,32,0,XVJv_otB0Wg
ISL Dictionary - Academic terms,army,2019-07-30T09:38:28Z,PT23S,149,5,0,5PDoZaEq-ig
ISL Dictionary - Academic terms,around,2019-07-30T10:04:54Z,PT34S,234,17,1,1vV3Rf5QO7k
ISL Dictionary - Academic terms,arrest,2019-07-30T10:12:00Z,PT23S,380,26,0,3Ads3HC3uUY
ISL Dictionary - Academic terms,art,2019-07-30T10:21:14Z,PT20S,307,13,0,sSbGFOjI7ms
ISL Dictionary - Academic terms,artist,2019-07-30T10:49:45Z,PT27S,1176,65,1,zd5oQIr6uZk
ISL Dictionary - Academic terms,ask,2019-07-30T11:19:15Z,PT56S,958,44,0,2HMqmCZ7ypE
ISL Dictionary - Academic terms,assistant,2019-07-30T11:45:54Z,PT1M12S,923,52,1,5ohfCxQOMls
ISL Dictionary - Academic terms,associate,2019-08-13T06:53:55Z,PT36S,1354,58,1,twf7hryf2WQ
ISL Dictionary - Academic terms,associate professor,2019-08-13T06:54:06Z,PT21S,246,6,0,nXUG291PZZU
ISL Dictionary - Academic terms,at the end,2019-08-13T06:54:11Z,PT35S,445,27,0,g47igUzjQT0
ISL Dictionary - Academic terms,audiogram,2019-08-13T06:54:14Z,PT14S,470,19,0,tC4_BDM4Geg
ISL Dictionary - Academic terms,augment,2019-08-13T06:54:18Z,PT27S,333,13,0,jhgM0z-HSFI
ISL Dictionary - Academic terms,august,2019-08-13T06:54:22Z,PT49S,401,14,0,kAK_PIpuuOQ
ISL Dictionary - Academic terms,authentic,2019-08-13T08:10:58Z,PT30S,351,16,0,Onjl3UdwAMs
ISL Dictionary - Academic terms,author,2019-08-13T09:03:21Z,PT38S,459,21,0,bu1HiSWTEgg
ISL Dictionary - Academic terms,automatic,2019-08-13T09:03:29Z,PT34S,273,15,0,hRHU_ke0_C8
ISL Dictionary - Academic terms,available,2019-08-13T09:32:31Z,PT20S,309,13,0,W3-Ajj2f_Ws
ISL Dictionary - Academic terms,average,2019-08-13T09:32:38Z,PT12S,468,20,0,5OFe6CzcymM
ISL Dictionary - Academic terms,award,2019-08-13T09:33:02Z,PT33S,608,35,0,mhexvP10EhU
ISL Dictionary - Academic terms,away,2019-08-13T10:25:15Z,PT44S,384,20,0,QDy10QwtMRQ
ISL Dictionary - Academic terms,axe,2019-08-13T10:25:22Z,PT21S,541,26,0,eKzeREbfujY
ISL Dictionary - Academic terms,b,2019-08-14T06:14:44Z,PT16S,909,29,0,i8lciLeUwr8
ISL Dictionary - Academic terms,back,2019-08-14T06:21:00Z,PT23S,1348,64,0,r6cmmctYop4
ISL Dictionary - Academic terms,backpack,2019-09-05T11:13:54Z,PT22S,300,12,0,xwu9JS2-mAw
ISL Dictionary - Academic terms,bad lan,2019-09-05T11:14:08Z,PT34S,163,9,0,HwpN8HDPOIU
ISL Dictionary - Academic terms,bag,2019-09-05T11:14:14Z,PT43S,241,14,0,YkrUzOaNHxs
ISL Dictionary - Academic terms,bake,2019-09-05T11:14:19Z,PT29S,368,11,0,h9D41QwlHws
ISL Dictionary - Academic terms,balance,2019-09-05T11:14:26Z,PT38S,160,5,0,7llDl5bKYEA
ISL Dictionary - Academic terms,ball,2019-09-05T11:14:32Z,PT16S,215,3,0,yAriBWIGXb0
ISL Dictionary - Academic terms,ballon,2019-09-05T11:14:39Z,PT18S,86,2,0,I593GAOGOv0
ISL Dictionary - Academic terms,ban,2019-09-05T11:14:44Z,PT48S,254,10,0,b4SHUyUjPOQ
ISL Dictionary - Academic terms,bank,2019-09-05T11:15:51Z,PT28S,131,9,0,6RXyaNu_8_k
ISL Dictionary - Academic terms,banker,2019-09-05T11:16:04Z,PT11S,757,29,3,fVEDUUPHh7c
ISL Dictionary - Academic terms,barber,2019-09-05T11:16:16Z,PT37S,880,39,0,Hk6fkiqNwNE
ISL Dictionary - Academic terms,bath,2019-09-05T11:16:23Z,PT34S,124,3,0,Pwt3ZcBGPOc
ISL Dictionary - Academic terms,bathroom,2019-09-05T11:16:33Z,PT34S,138,5,0,IPexwoEh2o8
ISL Dictionary - Academic terms,batsman,2019-09-05T11:16:39Z,PT26S,280,12,0,CB7TmAhWhok
ISL Dictionary - Academic terms,bawl,2019-09-06T05:05:44Z,PT6S,140,6,1,jy4AYU9D3ac
ISL Dictionary - Academic terms,be victorious,2019-09-06T05:05:55Z,PT29S,304,14,0,4uQapb2uC28
ISL Dictionary - Academic terms,bear,2019-09-06T05:57:51Z,PT32S,188,2,0,gPDByZ3qNec
ISL Dictionary - Academic terms,beat,2019-09-06T05:57:59Z,PT16S,110,1,0,3ty-C731Gq4
ISL Dictionary - Academic terms,beautiful,2019-09-06T05:58:03Z,PT42S,88,2,0,6UqsFTjzFtg
ISL Dictionary - Academic terms,bed,2019-09-06T05:58:17Z,PT22S,75,3,0,SJzwghMXmIk
ISL Dictionary - Academic terms,bedroom,2019-09-06T06:00:17Z,PT39S,168,3,0,iySTZvYyhP4
ISL Dictionary - Academic terms,beer,2019-09-06T06:00:22Z,PT15S,79,3,0,HT1oLv91_DI
ISL Dictionary - Academic terms,before,2019-09-06T06:00:31Z,PT17S,116,1,0,d8kBEM_aSoQ
ISL Dictionary - Academic terms,begin,2019-09-06T06:29:46Z,PT50S,132,2,0,G7Rw2sStGAg
ISL Dictionary - Academic terms,behaviour,2019-09-06T06:29:57Z,PT48S,217,15,0,9oS-hMRhStA
ISL Dictionary - Academic terms,bell,2019-09-06T06:30:07Z,PT42S,87,5,0,pu0EAhV_FeQ
ISL Dictionary - Academic terms,belt,2019-09-06T06:34:25Z,PT19S,96,3,0,6bt6gqAKioU
ISL Dictionary - Academic terms,benefit,2019-09-06T07:03:19Z,PT15S,99,3,0,_WVAJWePLhc
ISL Dictionary - Academic terms,best,2019-09-06T07:03:46Z,PT16S,144,5,0,qeGN23kMnu4
ISL Dictionary - Academic terms,better,2019-09-06T07:10:39Z,PT16S,196,6,0,J86tIYG8Rqg
ISL Dictionary - Academic terms,between,2019-09-06T07:10:50Z,PT35S,279,12,0,0UYAfKsQGBs
ISL Dictionary - Academic terms,bihar,2019-09-06T07:14:06Z,PT17S,93,3,0,0buvQHdgRsk
ISL Dictionary - Academic terms,bike,2019-09-06T07:36:30Z,PT15S,161,2,0,n7DG7cIKgYk
ISL Dictionary - Academic terms,bill,2019-09-06T07:43:53Z,PT17S,716,29,0,42FQmYjKyCE
ISL Dictionary - Academic terms,bindi,2019-09-06T07:44:01Z,PT13S,111,2,0,Zl6SwX1tDjY
ISL Dictionary - Academic terms,birds,2019-09-06T07:44:12Z,PT24S,121,7,0,PdlhZUAJtfE
ISL Dictionary - Academic terms,birthday,2019-09-06T09:21:36Z,PT9S,119,3,0,9HbgNBEvaMY
ISL Dictionary - Academic terms,biscuit,2019-09-06T09:21:41Z,PT12S,695,29,0,p0PN3BQtpo0
ISL Dictionary - Academic terms,black,2019-09-06T09:21:48Z,PT1M16S,236,11,0,nXlCXZsxU9s
ISL Dictionary - Academic terms,blame,2019-09-06T10:15:02Z,PT58S,337,15,0,zzEOkRpHh1g
ISL Dictionary - Academic terms,bless,2019-09-06T10:15:10Z,PT9S,189,7,0,Iyztypagf5I
ISL Dictionary - Academic terms,blood,2019-09-06T10:15:19Z,PT16S,183,13,0,zkUdSABmowQ
ISL Dictionary - Academic terms,blue,2019-09-06T10:15:25Z,PT8S,170,8,1,ORZz8vkqkhU
ISL Dictionary - Academic terms,bluetooth,2019-09-06T10:15:30Z,PT16S,176,11,0,xwZWD45-9lU
ISL Dictionary - Academic terms,body,2019-09-09T06:47:49Z,PT47S,407,26,0,e-2QM2QZD-o
ISL Dictionary - Academic terms,bold,2019-09-09T06:47:56Z,PT46S,283,24,0,_TZk2wmXkUg
ISL Dictionary - Academic terms,book,2019-09-09T06:54:41Z,PT59S,785,44,0,GzayHhOeMwo
ISL Dictionary - Academic terms,boss,2019-09-09T08:09:13Z,PT33S,307,13,0,BVhMw_LN9eg
ISL Dictionary - Academic terms,both,2019-09-09T08:09:18Z,PT30S,217,11,0,1zWhxQhA4kM
ISL Dictionary - Academic terms,bound,2019-09-09T08:09:23Z,PT21S,214,7,0,vaXFBzd468Q
ISL Dictionary - Academic terms,bowl,2019-09-09T08:09:30Z,PT1M9S,553,35,0,iSJtOt8ZMCw
ISL Dictionary - Academic terms,bowler,2019-09-09T09:29:35Z,PT20S,216,12,0,htSYR8KwgbA
ISL Dictionary - Academic terms,box,2019-09-09T09:29:48Z,PT19S,178,12,0,1sTSxpFuBY4
ISL Dictionary - Academic terms,boxing,2019-09-09T10:03:24Z,PT21S,299,14,1,e6l-X8-U75g
ISL Dictionary - Academic terms,boy,2019-09-09T10:03:37Z,PT28S,376,26,1,XH1I76iFkPI
ISL Dictionary - Academic terms,boyfriend,2019-09-11T07:17:15Z,PT52S,656,38,0,HSPQx08aVgM
ISL Dictionary - Academic terms,brain,2019-09-11T07:17:25Z,PT37S,869,62,0,z7Yq3ACCB54
ISL Dictionary - Academic terms,branch,2019-10-07T10:51:00Z,PT44S,276,17,0,LKw60rInjYQ
ISL Dictionary - Academic terms,brave,2019-10-07T10:51:10Z,PT12S,314,14,0,ScpFrH7sc70
ISL Dictionary - Academic terms,brazil,2019-10-07T10:51:28Z,PT32S,422,15,0,wF0DhewVhIo
ISL Dictionary - Academic terms,break,2019-10-07T10:51:34Z,PT21S,616,35,0,QpAms_Vdd8M
ISL Dictionary - Academic terms,bribe,2019-10-07T10:52:55Z,PT33S,571,24,0,phdmlrSvD9I
ISL Dictionary - Academic terms,brick,2019-10-21T07:16:30Z,PT16S,435,26,0,sWI_tqA2P1Y
ISL Dictionary - Academic terms,brifecase,2019-10-21T07:16:42Z,PT8S,232,14,2,CoX6gTkPp6k
ISL Dictionary - Academic terms,bright,2019-10-21T07:35:17Z,PT36S,182,6,0,9XOiEozl9lw
ISL Dictionary - Academic terms,brilliant,2019-10-21T08:59:57Z,PT20S,76,3,0,32oDFU2ym4U
ISL Dictionary - Academic terms,brinjal,2019-10-21T09:04:02Z,PT12S,129,6,0,apisxZdT4do
ISL Dictionary - Academic terms,brochure,2019-10-21T09:04:05Z,PT12S,90,4,0,6KubiAI8EPI
ISL Dictionary - Academic terms,broom,2019-10-21T09:04:11Z,PT30S,162,7,0,Yr3bQjPo4UE
ISL Dictionary - Academic terms,brother,2019-10-21T09:04:31Z,PT26S,143,5,0,DlxN4OcQokk
ISL Dictionary - Academic terms,brown,2019-10-21T10:22:39Z,PT15S,1391,28,4,QKDjIij7j0U
ISL Dictionary - Academic terms,brush teeth,2019-10-21T10:22:47Z,PT5S,122,7,0,fDmvifubp_E
ISL Dictionary - Academic terms,brutal,2019-10-21T10:22:53Z,PT5S,129,7,0,swI55oLXTC8
ISL Dictionary - Academic terms,bucket,2019-10-21T10:23:03Z,PT42S,336,18,0,-6SjwWlM-lM
ISL Dictionary - Academic terms,buddhism,2019-10-21T10:24:08Z,PT7S,320,19,0,SZTOifqUDKE
ISL Dictionary - Academic terms,buddhist,2019-10-22T10:10:06Z,PT30S,275,24,2,KA_csr7URHA
ISL Dictionary - Academic terms,budget,2019-10-22T11:21:30Z,PT29S,172,12,0,zj-nP8jVYuo
ISL Dictionary - Academic terms,build,2019-10-22T11:21:39Z,PT44S,244,22,0,7PEkBreMThs
ISL Dictionary - Academic terms,builder,2019-10-22T11:21:51Z,PT26S,332,18,0,w6E9elL7Qqc
ISL Dictionary - Academic terms,bull,2019-10-22T11:21:58Z,PT32S,195,15,0,PtotcRybG6A
ISL Dictionary - Academic terms,bully,2019-10-22T11:22:16Z,PT4S,170,5,0,Lq3i3Y4i87M
ISL Dictionary - Academic terms,burden,2019-10-22T11:22:25Z,PT24S,303,18,0,ubgA28QSniw
ISL Dictionary - Academic terms,burger,2019-10-22T11:41:45Z,PT32S,316,15,2,DaqQ3jcx8j0
ISL Dictionary - Academic terms,burn,2019-10-22T11:51:05Z,PT25S,134,9,0,a01kIo-Ejqw
ISL Dictionary - Academic terms,bury,2019-10-22T11:54:18Z,PT12S,195,9,0,QJM-Oanitb8
ISL Dictionary - Academic terms,bus,2019-10-24T05:25:30Z,PT37S,410,27,0,7-mcBVNH_3M
ISL Dictionary - Academic terms,business,2019-10-24T06:21:58Z,PT1M4S,333,27,0,q-7tlLNYhNQ
ISL Dictionary - Academic terms,busy,2019-10-24T06:54:52Z,PT33S,224,17,0,TLd0xYUPlmk
ISL Dictionary - Academic terms,buy,2019-10-24T08:32:38Z,PT2M1S,435,20,0,qaOi1Y6tFTc
ISL Dictionary - Academic terms,bye,2019-10-24T08:33:08Z,PT42S,224,12,0,6p11k2_8dmg
ISL Dictionary - Academic terms,c,2019-10-30T08:26:23Z,PT1M,119,11,0,6IGC3rejP44
ISL Dictionary - Academic terms,C:\Users\kiddo\Documents\ffi\isignit(android)afterUAP\Assets\Resources\AnimationClips\bodyCap\metarig_yourself.anim,2019-10-30T08:46:55Z,PT36S,284,25,1,IgeYsFg5kOw
ISL Dictionary - Academic terms,call,2019-10-30T11:24:50Z,PT26S,154,12,0,PcLBWFOe4BQ
ISL Dictionary - Academic terms,call off,2019-10-30T11:24:58Z,PT49S,177,10,0,-TH_YQ0mNMg
ISL Dictionary - Academic terms,call(phone),2019-10-30T11:25:04Z,PT19S,121,6,0,93IX_fP6t3o
ISL Dictionary - Academic terms,calm,2019-10-30T11:25:12Z,PT4S,161,7,0,GcOGwKC4rJ8
ISL Dictionary - Academic terms,camera,2019-10-31T06:45:55Z,PT49S,294,7,0,O12G_wWr09M
ISL Dictionary - Academic terms,can,2019-10-31T06:46:01Z,PT47S,1107,38,0,IJPhpWd2N0c
ISL Dictionary - Academic terms,canada,2019-10-31T06:46:07Z,PT32S,84,4,0,aqyNP8_xDgY
ISL Dictionary - Academic terms,cancel,2019-10-31T06:46:12Z,PT9S,103,5,0,WXQJz6hMvR8
ISL Dictionary - Academic terms,canteen,2019-10-31T06:46:17Z,PT12S,102,2,0,PBMDFXNOe2g
ISL Dictionary - Academic terms,cap,2019-10-31T06:46:23Z,PT13S,90,3,0,6y_SyFp4G1Q
ISL Dictionary - Academic terms,capable,2019-10-31T06:46:31Z,PT55S,89,7,0,f5ryndO0Cyo
ISL Dictionary - Academic terms,capital,2019-10-31T06:46:40Z,PT52S,111,7,0,kghmpxrpInw
ISL Dictionary - Academic terms,car,2019-10-31T06:46:44Z,PT48S,202,12,0,uqM-PvJLADo
ISL Dictionary - Academic terms,careful,2019-10-31T09:22:05Z,PT33S,141,11,0,5I2xfghnNQI
ISL Dictionary - Academic terms,carpet,2019-10-31T09:22:11Z,PT40S,216,6,0,V65xo2XtiRo
ISL Dictionary - Academic terms,carrom,2019-10-31T09:22:19Z,PT30S,263,14,0,eqA65qb1ee8
ISL Dictionary - Academic terms,carrot,2019-10-31T10:02:35Z,PT39S,190,11,0,_yDFiIPzzWg
ISL Dictionary - Academic terms,carry on,2019-10-31T10:02:44Z,PT3S,110,4,0,cu1rLU3RZbY
ISL Dictionary - Academic terms,cartoon,2019-10-31T10:02:55Z,PT27S,192,10,0,KR7Ij9Zhf1E
ISL Dictionary - Academic terms,cash,2019-10-31T11:47:20Z,PT1M14S,550,43,0,FNhZdEUJ5T8
ISL Dictionary - Academic terms,cashier,2019-11-01T08:08:45Z,PT47S,1933,97,1,ZMqB4XvP6Ts
ISL Dictionary - Academic terms,casio,2019-11-01T08:08:54Z,PT43S,123,7,0,w9SiLGNH38o
ISL Dictionary - Academic terms,casual,2019-11-04T09:03:30Z,PT18S,297,11,2,vs3GsZ3ZlQo
ISL Dictionary - Academic terms,cat,2019-11-04T09:47:13Z,PT35S,172,13,0,p6o_QPfzNoU
ISL Dictionary - Academic terms,category,2019-11-04T09:47:53Z,PT52S,402,19,0,7hJpN6XWd_Q
ISL Dictionary - Academic terms,cd,2019-11-04T09:48:24Z,PT46S,252,16,1,14owx_oiIAU
ISL Dictionary - Academic terms,celebrate,2019-11-11T08:44:05Z,PT24S,162,15,0,eojpZ1_sO74
ISL Dictionary - Academic terms,cell,2019-11-11T10:30:02Z,PT35S,1934,59,4,c-JJGBeFCZ4
ISL Dictionary - Academic terms,chained,2019-11-11T12:15:33Z,PT3S,309,14,0,cRf_6CCT5qQ
ISL Dictionary - Academic terms,chair,2019-11-13T08:35:18Z,PT48S,153,7,0,8ff7iV9BlkQ
ISL Dictionary - Academic terms,champion,2019-11-13T09:24:48Z,PT45S,890,49,0,MC1FmDwm3Cw
ISL Dictionary - Academic terms,chance,2019-11-13T09:57:01Z,PT34S,1289,70,1,ELGtjq11ZlM
ISL Dictionary - Academic terms,change,2019-11-13T10:17:00Z,PT44S,153,12,0,YLyAtHOKZFQ
ISL Dictionary - Academic terms,chart,2019-11-13T11:58:20Z,PT38S,91,6,0,GFh3BtWBwys
ISL Dictionary - Academic terms,chat,2019-11-13T11:58:25Z,PT41S,163,4,0,81GKZg_fT_8
ISL Dictionary - Academic terms,cheap,2019-11-13T11:58:30Z,PT25S,587,36,0,BPG9u4dLtN0
ISL Dictionary - Academic terms,check,2019-11-19T07:35:21Z,PT41S,112,5,0,UMykhC7gBL8
ISL Dictionary - Academic terms,chennai,2019-11-19T07:49:58Z,PT53S,282,28,0,ZXbhkCtP5No
ISL Dictionary - Academic terms,cheque,2019-11-19T08:33:35Z,PT58S,136,6,0,l7GLKQraQBI
ISL Dictionary - Academic terms,cherry,2019-11-19T08:33:48Z,PT35S,137,8,0,R8kGq0VPuBU
ISL Dictionary - Academic terms,choice,2019-11-19T08:33:56Z,PT20S,102,4,0,01QqPIqCcgU
ISL Dictionary - Academic terms,choose,2019-11-19T08:48:25Z,PT23S,139,9,0,efdEGZSzP8M
ISL Dictionary - Academic terms,cinema,2019-11-19T11:20:16Z,PT38S,703,9,8,K9CCaZFs1pc
ISL Dictionary - Academic terms,city,2019-11-19T11:20:24Z,PT38S,59,2,0,OH0nTLWVoPE
ISL Dictionary - Academic terms,class,2019-11-19T11:20:39Z,PT1M6S,147,3,0,xWJMbO6BRcU
ISL Dictionary - Academic terms,classification,2019-11-19T11:20:49Z,PT41S,39,1,0,3oJgaFMAmos
ISL Dictionary - Academic terms,clean,2019-11-19T11:20:55Z,PT39S,46,1,0,KJ4hsAnOyBg
ISL Dictionary - Academic terms,clear,2019-11-19T11:21:26Z,PT43S,123,6,0,euE5InSGh4A
ISL Dictionary - Academic terms,clever,2019-11-19T11:21:31Z,PT44S,194,13,0,a1v66-rnwkE
ISL Dictionary - Academic terms,climb,2019-11-20T06:16:59Z,PT26S,89,3,0,4k0TGFZZDY8
ISL Dictionary - Academic terms,clock,2019-11-20T06:58:38Z,PT18S,93,3,0,NcNWjtBVEFk
ISL Dictionary - Academic terms,close by,2019-11-20T07:01:54Z,PT12S,111,1,2,glIlp5RI3Hs
ISL Dictionary - Academic terms,club,2019-11-20T07:10:28Z,PT42S,159,9,1,PwTa3GB1M48
ISL Dictionary - Academic terms,coconut,2019-11-20T07:19:15Z,PT30S,68,3,0,ZU-cjGmPAPQ
ISL Dictionary - Academic terms,cold ,2019-11-20T07:41:28Z,PT24S,123,10,0,yJRIoo4XmTQ
ISL Dictionary - Academic terms,cold hearted,2019-11-20T09:05:04Z,PT22S,70,1,0,Cl4mmnh3FJo
ISL Dictionary - Academic terms,cold room,2019-11-20T09:05:21Z,PT22S,83,2,0,NIq5onrFCm4
ISL Dictionary - Academic terms,cold(food),2019-11-20T09:08:38Z,PT20S,118,9,0,Adz9syc-FMo
ISL Dictionary - Academic terms,cold(sick),2019-11-20T09:29:50Z,PT35S,68,4,0,i9Z47KncNA0
ISL Dictionary - Academic terms,cold(weather),2019-11-20T09:30:02Z,PT4S,127,2,0,u99BEcfvo8o
ISL Dictionary - Academic terms,collect,2019-11-21T07:07:32Z,PT30S,193,9,0,eAGE1OwasTU
ISL Dictionary - Academic terms,college,2019-11-21T08:57:37Z,PT24S,118,6,0,s-y7HicNTdc
